building,savings
kwh_sim_00601040010000,-0.7017195224761963
kwh_sim_00600470120000,-0.7480382919311523
kwh_sim_00603700370000,-0.5215108394622803
kwh_sim_00601450250000,-0.29965639114379883
kwh_sim_00600910010000,-0.1485884189605713
kwh_sim_00601030110000,-0.13672709465026855
kwh_sim_00601010030000,-0.13557076454162598
kwh_sim_00601060050000,-0.11015534400939941
kwh_sim_00601010190000,-0.09594559669494629
kwh_sim_00601530150000,-0.07901787757873535
kwh_sim_00601010210000,-0.059914588928222656
kwh_sim_00601030100000,-0.02562403678894043
kwh_sim_00600970150000,-0.003129243850708008
kwh_sim_00601020160000,-0.0030875205993652344
kwh_sim_00600470060000,-0.0004589557647705078
kwh_sim_00600470080000,0.004166364669799805
kwh_sim_00601020200000,0.02111196517944336
kwh_sim_00601020190000,0.022667646408081055
kwh_sim_00600970130000,0.051915645599365234
kwh_sim_00601020070000,0.06824731826782227
kwh_sim_00601060060000,0.07357597351074219
kwh_sim_00601510200000,0.11553168296813965
kwh_sim_00600960230000,0.1464247703552246
kwh_sim_00601010110000,0.22072196006774902
kwh_sim_00601010140000,0.2623915672302246
kwh_sim_00600940090000,0.3341197967529297
kwh_sim_00601010150000,0.38588643074035645
kwh_sim_00600340190000,0.4390537738800049
kwh_sim_00601550120000,0.6422758102416992
