building,savings
kwh_sim_00600970130000,-0.725322961807251
kwh_sim_00603700370000,-0.4252910614013672
kwh_sim_00601020190000,-0.31089186668395996
kwh_sim_00601530150000,-0.27190446853637695
kwh_sim_00601450250000,-0.1389026641845703
kwh_sim_00601020200000,-0.053238868713378906
kwh_sim_00601060050000,-0.03954172134399414
kwh_sim_00600970150000,-0.03873705863952637
kwh_sim_00601020160000,-0.017261505126953125
kwh_sim_00600470120000,-0.015532970428466797
kwh_sim_00601550120000,-0.013148784637451172
kwh_sim_00601010030000,-0.009393692016601562
kwh_sim_00600910010000,-0.0047206878662109375
kwh_sim_00601510200000,-0.003325939178466797
kwh_sim_00600340190000,-0.0016033649444580078
kwh_sim_00600470080000,-0.0015974044799804688
kwh_sim_00601010110000,-0.0014841556549072266
kwh_sim_00600960230000,-0.0005125999450683594
kwh_sim_00601010150000,-0.00013113021850585938
kwh_sim_00601010210000,9.5367431640625e-05
kwh_sim_00601030100000,0.0006437301635742188
kwh_sim_00600940090000,0.0009298324584960938
kwh_sim_00601010140000,0.0010132789611816406
kwh_sim_00601040010000,0.0021696090698242188
kwh_sim_00601010190000,0.002753734588623047
kwh_sim_00600470060000,0.003254413604736328
kwh_sim_00601020070000,0.007617473602294922
kwh_sim_00601030110000,0.009775161743164062
kwh_sim_00601060060000,0.08445978164672852
